Message_body,Label
Hey i've booked the 2 lessons on sun liao...,1
What are youdoing later? Sar xxx,1
Am slow in using biola's fne,1
Mode men or have you left.,1
I'm wif him now buying tix lar...,1
Jesus armand really is trying to tell everybody he can find,1
You're gonna have to be way more specific than that,1
Thanx a lot 4 ur help!,1
If I was I wasn't paying attention,1
"If you can make it any time tonight or whenever you can it's cool, just text me whenever you're around",1
"Er yeah, i will b there at 15:26, sorry! Just tell me which pub/cafe to sit in and come wen u can",1
You didnt complete your gist oh.,1
Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.,0
Oh yeah! And my diet just flew out the window,1
Otherwise had part time job na-tuition..,1
U horrible gal... U knew dat i was going out wif him yest n u still come n ask me...,1
"Sorry, I'll call later",1
Ok k..sry i knw 2 siva..tats y i askd..,1
"Hi elaine, is today's meeting confirmed?",1
I dont know oh. Hopefully this month.,1
I'm at bruce &amp; fowler now but I'm in my mom's car so I can't park (long story),1
So how are you really. What are you up to. How's the masters. And so on.,1
Nope. I just forgot. Will show next week,1
My slave! I want you to take 2 or 3 pictures of yourself today in bright light on your cell phone! Bright light!,1
You should get more chicken broth if you want ramen unless there's some I don't know about,1
East coast,1
Nite nite pocay wocay luv u more than n e thing 4eva I promise ring u 2morrowxxxx,1
Gr8. So how do you handle the victoria island traffic. Plus when's the album due,1
I ask if u meeting da ge tmr nite...,1
"Daddy, shu shu is looking 4 u... U wan me 2 tell him u're not in singapore or wat?",1
There is a first time for everything :),1
... Are you in the pub?,1
Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if ü leaving earlier or wat mah cos mayb ü haf to walk v far...,1
Dear are you angry i was busy dear,1
So how many days since then?,1
Pls give her prometazine syrup. 5mls then  &lt;#&gt; mins later feed.,1
So gd got free ice cream... I oso wan...,1
Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx,1
Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx,1
HARD BUT TRUE: How much you show &amp;  express your love to someone....that much it will hurt when they leave you or you get seperated...!?????ud evening...,1
And he's apparently bffs with carly quick now,1
Hi. Hope you had a good day. Have a better night.,1
That's necessarily respectful,1
As in i want custom officer discount oh.,1
Dunno lei shd b driving lor cos i go sch 1 hr oni.,1
I dont know exactly could you ask chechi.,1
"All done, all handed in. Don't know if mega shop in asda counts as celebration but thats what i'm doing!",1
Ooooooh I forgot to tell u I can get on yoville on my phone,1
Watching ajith film ah?,1
Nt joking seriously i told,1
Ok.ok ok..then..whats ur todays plan,1
NOT MUCH NO FIGHTS. IT WAS A GOOD NITE!!,1
I will be gentle baby! Soon you will be taking all  &lt;#&gt;  inches deep inside your tight pussy...,1
I'm at work. Please call,1
How do friends help us in problems? They give the most stupid suggestion that Lands us into another problem and helps us forgt the previous problem,1
How are you babes. Hope your doing ok. I had a shit nights sleep. I fell asleep at 5.Im knackered and im dreading work tonight. What are thou upto tonight. X,1
Good day to You too.Pray for me.Remove the teeth as its painful maintaining other stuff.,1
"I can make it up there, squeezed  &lt;#&gt;  bucks out of my dad",1
You have 1 new message. Call 0207-083-6089,0
Its sunny in california. The weather's just cool,1
Somebody set up a website where you can play hold em using eve online spacebucks,1
"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or £250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022",0
The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270,0
I don't want you to leave. But i'm barely doing what i can to stay sane. fighting with you constantly isn't helping.,1
I cant pick the phone right now. Pls send a message,1
Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..,1
"K I'll head out in a few mins, see you there",1
"Ok., is any problem to u frm him? Wats matter?",1
"Lol, oh you got a friend for the dog ?",1
dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?,0
Hi mom we might be back later than  &lt;#&gt; ,1
IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!,0
Just trying to figure out when I'm suppose to see a couple different people this week. We said we'd get together but I didn't set dates,1
A £400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a £400 reward. Just call 09066380611,0
Call 09095350301 and send our girls into erotic ecstacy. Just 60p/min. To stop texts call 08712460324 (nat rate),0
"I think your mentor is , but not 100 percent sure.",1
I'm in inside office..still filling forms.don know when they leave me.,1
Yep get with the program. You're slacking.,1
"Hey, iouri gave me your number, I'm wylie, ryan's friend",1
This is ur face test ( 1 2 3 4 5 6 7 8 9  &lt;#&gt;  ) select any number i will tell ur face astrology.... am waiting. quick reply...,1
Hmm. Shall i bring a bottle of wine to keep us amused? Just joking! I'll still bring a bottle. Red or white? See you tomorrow,1
Ok,1
Tell me something. Thats okay.,1
"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being 'SIMPLE' is very difficult...;-) :-)",1
Aiyo cos i sms ü then ü neva reply so i wait 4 ü to reply lar. I tot ü havent finish ur lab wat.,1
Guai... Ü shd haf seen him when he's naughty... Ü so free today? Can go jogging...,1
Good morning princess! Have a great day!,1
Yup it's at paragon... I havent decided whether 2 cut yet... Hee...,1
No one interested. May be some business plan.,1
I'm home...,1
Do I? I thought I put it back in the box,1
No sir. That's why i had an 8-hr trip on the bus last week. Have another audition next wednesday but i think i might drive this time.,1
"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",1
Wat ü doing now?,1
When you guys planning on coming over?,1
No go. No openings for that room 'til after thanksgiving without an upcharge.,1
"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020",0
And of course you should make a stink!,1
Are u awake? Is there snow there?,1
You'd like that wouldn't you? Jerk!,1
So when do you wanna gym?,1
My birthday is on feb  &lt;#&gt;  da. .,1
Sounds better than my evening im just doing my costume. Im not sure what time i finish tomorrow but i will txt you at the end.,1
No. It's not pride. I'm almost  &lt;#&gt;  years old and shouldn't be takin money from my kid. You're not supposed to have to deal with this stuff. This is grownup stuff--why i don't tell you.,1
"Garbage bags, eggs, jam, bread, hannaford wheat chex",1
"Neither [in sterm voice] - i'm studying. All fine with me! Not sure the  thing will be resolved, tho. Anyway. Have a fab hols",1
I think steyn surely get one wicket:),1
X course it 2yrs. Just so her messages on messenger lik you r sending me,1
Dude im no longer a pisces. Im an aquarius now.,1
"Sir, waiting for your letter.",1
Sweet heart how are you?,1
Wishing you a wonderful week.,1
What makes you most happy?,1
"Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)",1
"Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards.",1
Aah bless! How's your arm?,1
"Thanks, I'll keep that in mind",1
Ok no problem... Yup i'm going to sch at 4 if i rem correctly...,1
But we havent got da topic yet rite?,1
Kothi print out marandratha.,1
"Good morning, my Love ... I go to sleep now and wish you a great day full of feeling better and opportunity ... You are my last thought babe, I LOVE YOU *kiss*",1
"K, fyi I'm back in my parents' place in south tampa so I might need to do the deal somewhere else",1
Jus finish watching tv... U?,1
Hahaha..use your brain dear,1
Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX £1.50,0
My sister going to earn more than me da.,1
Here got ur favorite oyster... N got my favorite sashimi... Ok lar i dun say already... Wait ur stomach start rumbling...,1
K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1,1
"yeah, that's what I was thinking",1
"Jolly good! By the way,  will give u tickets for sat eve 7.30. Speak before then x",1
I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now,1
What you did in  leave.,1
Ill be at yours in about 3 mins but look out for me,1
Hi missed your Call and my mumHas beendropping red wine all over theplace! what is your adress?,1
Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  &lt;#&gt;  dollars.,1
"I can. But it will tell quite long, cos i haven't finish my film yet...",1
About  &lt;#&gt; bucks. The banks fees are fixed. Better to call the bank and find out.,1
At WHAT TIME should i come tomorrow,1
I can't make it tonight,1
Well good morning mr . Hows london treatin' ya treacle?,1
I.ll hand her my phone to chat wit u,1
My darling sister. How are you doing. When's school resuming. Is there a minimum wait period before you reapply? Do take care,1
Are u coming to the funeral home,1
Alex says he's not ok with you not being ok with it,1
XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription ,0
I donno its in your genes or something,1
Urgent! Please call 09061213237 from landline. £5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+,0
Xy trying smth now. U eat already? We havent...,1
Dear where you. Call me,1
Hey! Congrats 2u2. id luv 2 but ive had 2 go home!,1
An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-),1
Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ...,1
I'm still pretty weak today .. Bad day ?,1
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",0
Sent me ur email id soon,1
"Yeah, probably here for a while",1
I have gone into get info bt dont know what to do,1
"And how you will do that, princess? :)",1
"Vikky, come around  &lt;TIME&gt; ..",1
"Helloooo... Wake up..! ""Sweet"" ""morning"" ""welcomes"" ""You"" ""Enjoy"" ""This Day"" ""with full of joy"".. ""GUD MRNG"".",1
URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790126 from land line. Claim 3030. Valid 12hrs only 150ppm,0
"Best msg: It's hard to be with a person, when u know that one more step foward will make u fall in love.. &amp; One step back can ruin ur friendship.. good night:-) ...",1
Dunno leh cant remember mayb lor. So wat time r we meeting tmr?,1
Oh yeah clearly it's my fault,1
"Hi. Hope ur day * good! Back from walk, table booked for half eight. Let me know when ur coming over.",1
Its too late:)but its k.wish you the same.,1
"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!",1
So u wan 2 come for our dinner tonight a not?,1
Did u fix the teeth?if not do it asap.ok take care.,1
"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy ",0
"ER, ENJOYIN INDIANS AT THE MO..yeP. SaLL gOoD HehE ;> hows bout u shexy? Pete Xx",1
Anything lar then ü not going home 4 dinner?,1
HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN,1
Gud ni8.swt drms.take care,1
"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@",1
Pls speak with me. I wont ask anything other then you friendship.,1
Did you see that film:),1
I absolutely LOVE South Park! I only recently started watching the office.,1
If anyone calls for a treadmill say you'll buy it. Make sure its working. I found an ad on Craigslist selling for $ &lt;#&gt; .,1
Can help u swoop by picking u up from wherever ur other birds r meeting if u want.,1
1 in cbe. 2 in chennai.,1
"As usual..iam fine, happy &amp; doing well..:)",1
Well she's in for a big surprise!,1
Ok... Sweet dreams...,1
I didnt get anything da,1
Please tell me not all of my car keys are in your purse,1
You do your studies alone without anyones help. If you cant no need to study.,1
"Yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun!",1
Urgent! Please call 09061213237 from a landline. £5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+,0
"K I'm leaving soon, be there a little after 9",1
U come n search tat vid..not finishd..,1
Gud ni8 dear..slp well..take care..swt dreams..Muah..,1
Haven't eaten all day. I'm sitting here staring at this juicy pizza and I can't eat it. These meds are ruining my life.,1
Thank you princess! I want to see your nice juicy booty...,1
thanks for the temales it was wonderful. Thank. Have a great week.,1
Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*,1
Hmm thinking lor...,1
Its a part of checking IQ,1
"Gud gud..k, chikku tke care.. sleep well gud nyt",1
"Jay wants to work out first, how's 4 sound?",1
Yeah I can still give you a ride,1
Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch ,0
Am on the uworld site. Am i buying the qbank only or am i buying it with the self assessment also?,1
Ok cool. See ya then.,1
Hey what how about your project. Started aha da.,1
YOU ARE CHOSEN TO RECEIVE A £350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.,0
I realise you are a busy guy and i'm trying not to be a bother. I have to get some exams outta the way and then try the cars. Do have a gr8 day,1
"Nope, I'm still in the market",1
It means u could not keep ur words.,1
PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04,0
I re-met alex nichols from middle school and it turns out he's dealing!,1
Prabha..i'm soryda..realy..frm heart i'm sory,1
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,1
OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX,1
If I die I want u to have all my stuffs.,1
5 nights...We nt staying at port step liao...Too ex,1
"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)",1
I have to take exam with in march 3,1
Pls she needs to dat slowly or she will vomit more.,1
I accidentally brought em home in the box,1
Well thats nice. Too bad i cant eat it,1
I am late. I will be there at,1
I keep ten rs in my shelf:) buy two egg.,1
Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468,0
3 pa but not selected.,1
K.k.how is your business now?,1
It is only yesterday true true.,1
Dai i downloaded but there is only exe file which i can only run that exe after installing.,1
"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop",1
Hi.what you think about match?,1
"Babe, I'm answering you, can't you see me ? Maybe you'd better reboot YM ... I got the photo ... It's great !",1
I will reach ur home in  &lt;#&gt;  minutes,1
Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt,0
How come she can get it? Should b quite diff to guess rite...,1
Me fine..absolutly fine,1
WOT STUDENT DISCOUNT CAN U GET ON BOOKS?,1
"YOU VE WON! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",0
Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk,0
Ugh my leg hurts. Musta overdid it on mon.,1
She.s fine. I have had difficulties with her phone. It works with mine. Can you pls send her another friend request.,1
I like cheap! But im happy to splash out on the wine if it makes you feel better..,1
"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic ",0
Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.,1
Ok... Take ur time n enjoy ur dinner...,1
"It's wylie, you in tampa or sarasota?",1
Oh oh... Den muz change plan liao... Go back have to yan jiu again...,1
"Sorry, I'll call later",1
Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP,0
ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,0
Okie,1
WHAT TIME U WRKIN?,1
I uploaded mine to Facebook,1
I just cooked a rather nice salmon a la you,1
I'm in town now so i'll jus take mrt down later.,1
"Fuuuuck I need to stop sleepin, sup",1
I sent them. Do you like?,1
K sure am in my relatives home. Sms me de. Pls:-),1
"Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*",1
"Hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please ",1
SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!,0
"Very strange.  and  are watching the 2nd one now but i'm in bed. Sweet dreams, miss u ",1
Company is very good.environment is terrific and food is really nice:),1
Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,1
Water logging in desert. Geoenvironmental implications.,1
U 2.,1
"Aight, text me tonight and we'll see what's up",1
Oh k. . I will come tomorrow,1
I'm in school now n i'll be in da lab doing some stuff give me a call when ü r done.,1
Now i'm going for lunch.,1
"Ive got some salt, you can rub it in my open wounds if you like!",1
Oh did you charge camera,1
Y she dun believe leh? I tot i told her it's true already. I thk she muz c us tog then she believe.,1
Ü still got lessons?  Ü in sch?,1
"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",0
Ok leave no need to ask,1
Just send a text. We'll skype later.,1
Lol no. I just need to cash in my nitros. Hurry come on before I crash out!,1
Ok... Then r we meeting later?,1
No but the bluray player can,1
I will come with karnan car. Please wait till 6pm will directly goto doctor.,1
K k:) sms chat with me.,1
"Sir, I need Velusamy sir's date of birth and company bank facilities details.",1
MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY,1
"Like  &lt;#&gt; , same question",1
Haven't left yet so probably gonna be here til dinner,1
Idk. I'm sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like i'm a failure in everything. Nobody wants me and now i feel like i'm failing you.,1
